Word,Frequency
deeply,1
defeated,1
defect,4
defective,3
defects,1
defensible,1
define,2
defined,1
definite,19
definitely,3
definiteness,1
definition,16
definitions,1
degree,20
degrees,8
deletions,1
deliberate,1
delightful,1
delusion,1
demand,4
demanding,1
demands,3
demon,3
demonstrably,1
demonstration,2
demonstrations,2
demonstrative,1
demonstratively,1
denial,3
denied,5
denies,1
denotes,4
dentist,1
deny,12
depend,13
dependence,1
dependent,9
depending,1
depends,12
derivative,15
derive,7
derived,17
descartes,6
descend,1
describe,6
described,10
describes,1
describing,1
description,45
descriptions,9
descriptive,1
desdemona,25
desdemona's,7
desert,1
deserts,1
deserves,1
deserving,1
designate,1
desirability,1
desirable,1
desire,10
desires,5
desiring,1
desirous,1
despite,1
destroy,2
destroyed,1
destroys,1
destructive,1
detach,1
detail,3
determine,3
determined,3
determines,1
develop,2
development,1
developments,1
dialogues,2
diary,1
dictionary,1
did,13
die,1
died,4
differ,5
difference,11
differences,2
different,77
differently,4
differing,3
differs,2
difficult,23
difficulties,7
difficulty,14
diminish,1
diminished,1
diminishes,1
diminishing,2
dined,1
dinner,1
diplomatist,4
direct,9
direction,6
directions,1
directly,12
directs,1
disappear,1
disappoint,1
disappointing,1
disclaim,1
disclaimer,3
disclaimers,1
discontinue,1
discover,5
discoverable,4
discovered,7
discovering,5
discovery,2
discuss,1
discussed,2
discussing,4
discussion,4
discussions,2
disease,1
disengaged,1
disentangle,2
disk,1
dismiss,1
dismissed,2
dispassionately,1
display,1
displayed,1
displaying,4
disproved,3
disputable,1
disputants,1
dissociated,1
distance,3
distances,5
distinct,3
distinction,7
distinctions,2
distinctive,2
distinctly,1
distinguish,7
distinguished,4
distinguishes,1
distinguishing,3
distort,1
distorts,1
distribute,6
distributed,4
distributing,7
distribution,8
distributor,1
disturbance,3
diverge,1
divest,1
divide,1
divided,1
divisibility,1
divisible,2
do,78
doctrine,4
doctrines,2
does,73
dogmas,1
dogmatic,1
dogmatically,2
dogmatism,1
domain,2
domestic,2
dominion,1
donate,5
donation,1
donations,15
done,5
donors,1
door,2
doubt,38
doubted,5
doubtful,9
doubting,5
doubtless,1
doubts,2
down,4
downloading,1
draw,9
drawing,2
drawn,1
dream,9
dreams,12
dried,1
drifted,1
drive,1
driven,5
drives,1
dualism,2
due,9
duly,1
duration,2
during,3
dwell,3
dying,3
e,44
each,15
earlier,4
early,1
earth,7
earth's,2
earwig,3
easier,2
easiest,1
easily,7
east,1
easy,7
eat,2
ebook,13
ebooks,7
eclipse,1
edinburgh,9
edition,1
editions,4
educated,1
educational,1
effect,8
effected,1
effects,2
effort,4
efforts,3
eight,4
ein,1
either,29
elapse,1
elapsed,1
elect,1
elected,1
electric,1
electronic,27
electronically,2
element,3
elementary,1
elements,1
elicited,4
else,20
elsewhere,1
elucidation,1
email,2
embark,1
embracing,1
emerged,1
emerges,1
eminently,1
emitted,1
emitting,1
emotion,2
emperor,2
emphasized,1
emphatically,1
empire,5
empirical,15
empiricists,8
employ,2
employed,4
employee,1
employees,1
employs,1
empty,3
enable,5
enables,6
enabling,2
end,11
endeavour,3
endeavoured,2
ends,2
enemy,2
engagement,1
engendered,1
england,1
english,1
enlarge,3
enlarged,1
enlargement,4
enlarges,1
enormously,1
enough,6
enrich,1
ensures,2
ensuring,1
entails,1
entangled,1
enter,1
entertain,3
entertained,2
entertaining,1
entirely,6
entities,8
entity,6
enumerated,1
enumeration,1
enunciated,1
equal,1
equally,10
equipment,3
equivocation,1
ergo,1
erroneous,11
error,16
errors,2
escape,4
especially,3
essence,7
essential,7
essentially,8
establish,4
established,2
estimated,1
etc,6
eternal,1
eternally,1
ethical,4
ethics,2
euclid's,1
euclidean,2
europe,1
even,47
event,3
events,4
ever,17
every,17
everyday,1
everything,18
evidence,42
evident,37
evident_,2
evil,5
exact,1
exactly,6
examination,4
examine,8
examined,5
examines,1
examining,3
example,43
examples,2
exceedingly,1
except,26
exceptional,2
exceptions,9
excluded,2
excluding,1
exclusion,1
exclusive,2
exclusively,6
exemplified,3
exemplify,1
exempt,2
exist,54
existed,5
existence,55
existent,1
existing,9
exists,33
expect,6
expectation,2
expectations,12
expecting,4
expend,1
expense,1
expenses,2
experience,80
experienced,10
experiences,15
explained,3
explaining,3
explanation,2
explicitly,1
explored,1
exploring,1
exponents,1
exporting,1
express,5
expressed,2
expressing,2
expression,2
expressions,1
extend,1
extends,1
extension,3
extensive,1
extent,7
external,2
extrinsic,1
eye,9
eyes,6
f,11
fabric,1
face,1
facility,1
fact,108
fact_,1
facts,19
faculty,1
fail,2
failed,2
failing,1
fails,3
failure,4
fainter,1
faintness,1
fairly,4
fall,4
fallacies,1
fallacious,6
fallacy,1
fallible,1
falls,1
false,27
falsehood,28
falsehoods,2
falsely,4
falsified,1
familiar,6
familiarity,2
family,1
fancy,1
far,27
farther,1
fast,1
fatal,1
favour,8
favouritism,1
fear,1
fears,2
features,1
fed,1
federal,2
fee,8
feeds,1
feel,15
feeling,5
feelings,10
feels,2
fees,4
felt,2
fetters,1
feverish,1
few,4
figure,2
file,1
files,1
finally,3
financial,1
find,39
finding,6
finds,4
fine,1
finite,3
firm,2
firmly,4
first,58
fit,3
fitness,1
five,3
fix,1
fixed,1
flash,1
fleeting,2
foes,1
follow,7
followed,1
following,12
follows,22
food,9
foolish,1
football,1
for,267
force,1
forced,4
forces,1
forget,1
forgetting,1
forgo,1
forgotten,1
forks,1
form,36
formal,1
formally,1
format,4
formats,1
formed,3
former,4
formerly,8
forms,5
forth,9
fortress,1
fortuitous,1
fortune,1
forty,1
forward,2
forwards,1
fostered,1
found,31
foundation,27
founder,2
four,43
fourth,1
fragment,1
fragmentary,3
fragments,1
framework,1
free,13
freedom,4
freely,5
french,2
frequent,2
fresh,8
friend,1
friend's,2
friends,2
frightened,1
from,230
front,1
fulfil,2
fulfilled,5
fulfilment,1
fulfils,1
full,15
fully,6
function,2
fundamental,7
further,17
future,26
futures,6
g,4
gain,1
garrison,1
general,72
generality,1
generalization,5
generalizations,6
generally,17
generations,2
genuine,2
genuinely,1
geography,1
geology,1
geometry,5
georg,1
george,1
german,8
germany,2
get,7
gets,2
getting,1
ghost,3
gilbert,1
give,22
given,33
gives,18
giving,11
glance,1
glasses,1
globe,1
go,11
goals,1
god,8
god's,2
goes,8
going,2
gone,1
good,18
goods,6
goodwill,1
gordon,1
govern,2
gradation,5
gradations,1
gradually,4
grain,1
granted,6
grapple,1
grasp,1
gratefully,1
gratuitous,1
gravely,1
gravitation,6
great,28
greater,16
greatest,4
greatly,2
greatness,5
greek,2
greeks,1
green,6
greens,1
greeny,1
gross,3
ground,10
groundless,1
grounds,11
group,1
grow,1
growing,1
grown,2
growth,2
guarantee,6
guard,2
guarded,1
guide,1
gutenberg,97
gutenberg's,1
habit,6
habits,1
habitual,1
habitually,1
had,22
hair,1
half,3
hallucinations,2
halved,2
halves,1
hand,7
handbooks,1
happen,8
happened,6
happens,5
happiness,1
hard,9
hardly,6
hardness,6
hardnesses,1
harm,1
harmless,1
harmonious,3
harmonize,2
harmony,1
hart,1
has,139
hates,1
hatred,1
hatreds,1
have,320
having,14
he,97
head,5
hear,10
heard,4
hearing,4
hears,2
heartbeats,1
heat,2
heaven,1
heavens,1
hegel,7
hegel's,1
held,17
help,8
helpful,1
hence,45
henry,1
here,18
heretofore,1
hesitatingly,1
hides,1
hierarchy,2
high,1
higher,1
highest,6
highly,4
hills,1
him,26
himself,9
hinder,1
his,55
historian,1
historic,1
historical,2
historically,1
history,3
hitherto,8
hold,11
holder,4
holds,5
home,1
honour,1
hoofs,1
hooks,2
hope,10
hoped,1
hopeless,1
hopes,3
horrors,1
horse,2
host,1
hostile,2
hot,1
hour,2
house,3
houses,2
how,24
however,38
human,15
hume,7
hume's,1
hundred,1
hundreds,1
hunger,3
hungry,2
hylas,3
hypertext,1
hypotheses,7
hypothesis,5
hypothetical,3
i,166
i's,2
idea,31
idealism,6
idealists,5
ideas,37
identical,5
identification,1
identify,2
identity_,1
ides,1
if,278
ignorance,1
ignorant,1
ignored,2
ii,1
iii,1
illumination,1
illusoriness,1
illusory,1
illustrated,1
illustrates,2
illustration,6
illustrations,1
image,8
imagination,7
imagine,6
imagined,2
imagining,2
immanuel,1
immediate,21
immediately,23
immutable,1
impaired,1
impairs,1
impartial,1
impartiality,3
impartially,1
impenetrable,1
imperceptible,2
impersonal,1
implied,6
implies,3
imply,2
importance,18
important,27
impose,1
imposed,2
impossibility,5
impossible,15
impression,1
imprisoned,1
improbable,3
in,965
inaccurate,1
inadequate,2
incapable,8
incidental,1
inclination,1
inclined,2
include,3
included,10
includes,1
including,9
incoherent,2
incompatible,1
incomplete,9
incompleteness,3
inconceivable,2
inconsistencies,1
inconsistency,1
inconsistent,2
increase,1
increased,3
increases,2
increasing,1
incredulous,1
indeed,3
indefinite,2
indefinitely,1
indemnify,1
indemnity,1
independence,1
independent,19
independently,10
indestructible,1
indicate,2
indicated,1
indicating,1
indifferent,2
indirect,1
indirectly,2
individual,6
individually,2
indubitable,5
induction,15
induction_,1
inductive,19
inevitable,1
inexplicable,1
infallibility,1
infallible,3
infancy,1
infected,1
infer,5
inference,15
inferences,5
inferred,10
inferring,1
infinite,9
infinitely,3
infinitesimal,1
infinitum_,1
infinity,2
inflected,1
inflections,1
influence,1
information,9
infringed,1
infringement,1
inhabitants,1
inhabited,1
inherent,1
innate,4
inner,2
innocent,1
innumerable,4
inoperative,1
inquire,1
inquired,1
inquiry,4
insistence,2
insistent,1
insoluble,1
inspiration,1
instance,34
instances,22
instants,1
instead,6
instinctive,11
instinctively,3
instincts,1
instrument,1
insubstantial,1
integers,6
intellect,5
intellectual,3
intelligent,1
intended,1
intently,1
interact,1
interaction,2
interest,7
interesting,9
interests,5
interfere,2
interferes,1
intermediary,1
intermediate,2
internal,2
international,1
interpret,1
interpretation,2
interpreted,1
interrelation,1
interrupted,1
intervening,2
into,30
intrinsic,9
intrinsically,4
introduce,1
introspection,2
intuitive,21
intuitively,1
invalidity,1
invent,2
invented,1
inventing,1
invention,1
inventions,1
investigation,2
investigations,1
invites,1
involve,15
involved,19
involves,8
involving,6
iron,5
irrefutable,1
irrelevant,5
irs,1
is,1325
isolated,2
isolation,1
issue,2
it,705
its,101
itself,48
itself'1,1
iv,3
ix,2
j,1
joint,1
jones,7
judge,12
judged,2
judgement,40
judgements,23
judges,5
judging,11
julius,4
june,1
just,28
justice,4
justification,3
justified,4
justify,3
justly,1
kant,19
kant's,6
kantian,1
keener,1
keep,5
keeping,2
keeps,1
keynes,1
killed,1
kind,45
kinds,11
king,3
king's,1
knew,4
knits,1
knitting,2
knives,1
know,162
knowable,1
knowing,14
knowledge,306
known,89
knows,3
knuckles,2
königsberg,1
labours,2
laid,2
lake,1
language,3
lapse,1
large,5
largely,6
larger,1
last,18
late,6
later,8
latin,1
latter,4
launched,1
law,53
laws,33
lay,1
lead,3
leads,2
learn,7
learning,3
learnt,1
least,28
leaves,4
leaving,2
led,14
left,9
legal,2
legally,1
legitimately,1
leibniz,8
length,1
less,47
let,16
letters,4
level,1
liability,3
liable,5
liberating,1
liberation,1
liberator,1
liberty,1
library,2
license,18
licensed,1
lies,1
lieu,2
life,32
light,23
lightning,5
like,40
likelihood,2
likely,5
limit,3
limitation,4
limitations,1
limited,9
limiting,1
limits,5
line,7
linked,1
links,3
lips,1
listen,2
literary,13
little,3
live,1
lived,3
lives,2
living,4
located,7
locations,1
locke,1
logic,30
logical,23
logically,11
logician,1
london,11
long,19
longer,5
longest,1
look,18
looked,1
looking,5
looks,5
loose,1
loosen,1
lot,1
loud,1
love,11
loves,18
loving,7
lower,2
lowest,1
luck,2
luminously,1
lying,1
m,1
machine,1
made,19
magnifies,1
mail,1
main,7
mainly,2
maintain,1
maintained,7
maintaining,1
majority,1
make,53
makes,21
making,5
man,52
man's,11
manager,1
mankind,2
manner,5
many,62
map,2
march,1
marching,1
mark,2
marked,2
marriage,1
mask,5
mass,2
match,1
material,5
mathematical,4
mathematician,3
mathematicians,3
mathematics,7
mathematics_,1
matter,46
matters,6
maximum,1
may,172
me,14
meal,2
mean,25
meaning,11
meanings,1
means,36
meant,9
measure,3
medium,8
meet,3
melt,1
memories,2
memory,23
men,36
men's,1
mental,35
mention,1
merchantability,1
mercilessly,1
mere,18
merely,32
merest,1
merges,1
merit,2
merits,1
met,3
metaphorically,1
metaphysic_,1
metaphysical,4
metaphysician,2
metaphysicians,2
metaphysics,4
method,7
methodical,2
methods,2
michael,1
microscope,4
middle,1
middle_,1
midst,1
might,37
miles,1
million,1
mind,85
mind's,2
minds,50
mineralogist,1
minister,3
minister's,3
minor,1
minute,2
minutes,4
miracle,1
misery,1
misleading,6
misleadingness,1
mission,4
mississippi,1
mistake,1
mistaken,4
mistakes,1
misunderstanding,1
mitigate,1
mode,1
modern,6
modest,2
modification,1
modifications,1
modified,2
modify,1
moment,14
momentary,1
moments,2
monadology_,1
money,3
month,1
moon,2
moore,1
more,97
moreover,6
morning,2
morrow,11
mortal,19
mortality,1
mortals,2
most,44
motion,18
motions,6
move,2
moved,1
movements,1
mr,4
much,32
multiplication,1
multiplicity,1
multiplied,3
murray,1
musical,1
must,169
mutually,1
my,60
myself,3
mysterious,3
mystic,1
mystical,1
mysticism,1
n,1
naked,3
name,18
named,4
namely,22
names,3
narrow,6
nation,1
native,1
natural,14
naturally,9
nature,58
naval,2
near,3
nearer,5
nearest,1
nearly,6
nearness,1
necessarily,6
necessary,24
necessity,7
neck,3
need,8
needed,3
needs,1
negative,2
neglect,2
neglecting,1
negligence,1
negligible,1
neither,9
nerves,2
network,1
neutral,4
never,39
nevertheless,9
new,10
newness,1
news,1
newsletter,1
newspaper,3
newspapers,1
newton's,1
next,19
night,2
ninety,1
no,161
nobody,1
noise,4
noises,1
nominative,1
non,5
none,3
nonproprietary,1
nook,1
nor,18
normal,4
north,11
not,468
notably,2
note,1
noted,4
noteworthy,1
nothing,34
notice,5
noticed,2
noticing,1
notifies,1
notion,3
notions,1
notoriously,2
nouns,1
nourishing,2
novelist,1
now,45
nowadays,1
nowhen,1
nowhere,1
number,21
numbers,2
numerous,1
object,105
objection,4
objectionable,1
objections,5
objective,1
objects,95
oblivious,1
oblong,2
obscure,1
observation,3
observe,1
observed,6
observing,1
obsolete,1
obstacle,1
obstacles,1
obstinate,1
obtain,8
obtained,12
obtaining,3
obtuse,1
obvious,10
obviously,16
obviousness,2
occasion,2
occupant,1
occupied,3
occupies,2
occupy,5
occupying,1
occur,7
occurred,2
occurrence,4
occurring,2
occurs,4
odd,1
of,1883
off,4
offers,3
office,1
official,3
often,25
oftener,1
old,4
omission,1
on,124
once,10
one,156
ones,1
oneself,1
online,4
only,110
opaque,1
open,5
opening,1
operated,1
operation,5
operative,1
opinion,14
opinion_,1
opinions,3
opportunities,1
opportunity,1
opposed,14
opposing,2
opposite,10
opposites,1
opposition,3
or,355
orator,1
order,37
orderly,1
orders,1
ordinary,7
ordnance,1
org,9
organism,2
organization,2
organized,1
organizing,1
organs,3
origin,1
original,2
originally,1
originator,1
othello,18
othello's,2
other,160
others,15
otherwise,9
ought,9
our,343
ourselves,29
out,21
outcome,1
outdated,1
outer,8
outline,2
outlines,1
outside,15
outward,1
oval,1
over,10
overlooked,2
owed,1
owing,5
own,23
owner,4
owns,2
page,5
pages,2
paid,6
pain,2
painfully,1
painter,3
pair,3
pairs,4
pale,2
palpable,1
paper,2
papers,1
paperwork,1
paradoxes,1
paradoxical,1
paragraph,11
paragraphs,3
parallel,2
part,31
partake,2
partial,3
partially,1
participate,2
participation,2
particular,74
particularity,2
particularly,2
particulars,26
partly,6
parts,27
party,1
pass,10
passage,1
passes,1
passing,2
past,36
patch,10
patches,3
pausing,1
pay,1
paying,3
payments,3
peace,1
peculiar,1
peculiarly,1
people,38
people's,8
perceive,12
perceived,8
perceiving,3
perception,12
perceptions,6
percipient,2
perfect,3
perfection,1
perfectly,6
perform,3
performances,1
performed,6
performing,3
perhaps,12
periodic,1
permanence,1
permanent,7
permission,6
permitted,2
perpendiculars,3
perpetual,1
persists,3
person,33
personal,4
persons,1
perspective,1
persuade,2
persuaded,1
persuading,1
perturbed,1
pg,1
pglaf,1
phantasmagoria,1
phenomena,9
phenomenon,2
philonous,2
philonous_,1
philosopher,10
philosopher's,1
philosophers,37
